,0,1,2,3
0,2560.0,440.343079735073,444.01474278459284,10000.0
1,5120.0,479.10657054295183,486.03868405111183,10000.0
2,7680.0,482.2867687494048,490.88539210985925,10000.0
3,10240.0,486.36840959357556,493.726458152279,10000.0
4,12800.0,485.19413574928984,492.5937667659822,10000.0
5,15360.0,486.25421278320675,493.0768605514449,10000.0
6,17920.0,485.8929583971346,491.754983515901,10000.0
7,20480.0,482.71278013684224,489.8175571308645,10000.0
8,23040.0,484.3709745589067,488.3954567559702,10000.0
9,25600.0,485.66864537620495,491.09903094680465,10000.0
