,0,1,2
0,4440.0,-1607.2397429485488,-1598.817687063409
1,8880.0,-1604.552172935277,-1583.1695339538048
2,13320.0,-1575.307264360652,-1580.8314942902941
3,17760.0,-1544.5273777543441,-1541.8767737873277
4,22200.0,-1535.2933195035596,-1508.5420157947801
5,26640.0,-1515.857931896959,-1500.3144616550426
6,31080.0,-1502.00969652232,-1472.3276673345597
7,35520.0,-1504.7516379447375,-1487.9856304214857
8,39960.0,-1478.7301403362833,-1479.479308567273
9,44400.0,-1477.4858703279951,-1471.5622806653184
10,48840.0,-1467.7883891028666,-1473.7852208212307
11,53280.0,-1455.3101276827183,-1458.770761825777
12,57720.0,-1453.4033897077609,-1441.9266280659285
13,62160.0,-1453.2565107500996,-1433.2088332207345
14,66600.0,-1441.19875994558,-1431.6169530492677
15,71040.0,-1436.836969801925,-1440.3121224600654
16,75480.0,-1432.7019412273007,-1429.9384616674336
17,79920.0,-1432.3555571045795,-1425.617011600994
18,84360.0,-1431.6204725777632,-1421.254094860124
19,88800.0,-1427.175507586938,-1435.939244754905
20,93240.0,-1433.1597731327236,-1427.1970278235565
21,97680.0,-1431.5817944528512,-1428.8653977976473
22,102120.0,-1432.3685239993606,-1424.9625339422812
