,0,1,2
0,121000.0,-354.43694960420873,-415.41213571713877
1,248500.0,-594.8781812260121,-625.4046453770337
2,384500.0,-1545.4854534914305,-1577.2151712863438
3,520500.0,-203.370532343863,-233.24766499026236
4,660500.0,-310.9404833556416,-376.0353444416889
5,797000.0,-380.4937076044344,-370.03834812215814
6,933000.0,-348.4769073290548,-378.37097030414674
7,1068500.0,122.79715617857764,81.64282941442022
8,1204500.0,184.30307497637264,173.70105731818697
9,1340000.0,-1546.019713657306,-1511.0652084765222
10,1480000.0,391.3023379009558,378.4932723459099
11,1617000.0,-450.02139474888526,-445.5990795941082
12,1752000.0,-423.51504159534113,-468.96888953795195
13,1888500.0,-400.431639157066,-380.58284722741945
14,2025000.0,-304.517403198749,-285.8728746811121
15,2164500.0,349.7169923049005,349.87392812238807
16,2300000.0,-2650.7783990643834,-2662.7987534626436
17,2437000.0,-364.4493711257844,-415.5910014457771
18,2577500.0,-519.7855906023292,-481.51010640696705
19,2712000.0,21.565803595324667,6.880123759129554
20,2849000.0,220.33651531328744,224.92112230237166
21,2985000.0,112.18416032556873,109.10067765100716
22,3120000.0,-707.7832623208491,-706.0143641602813
23,3248500.0,342.88673931761303,340.2806153918958
24,3384500.0,232.29575678471548,222.8689367887474
25,3516000.0,319.13569339614605,308.11912191339803
26,3649000.0,-424.88106462832917,-433.864383762978
27,3785500.0,397.2896441417419,395.46030171758156
28,3924500.0,-1026.9143649784526,-1046.4420182905606
29,4060500.0,38.1371938828324,28.61710107316682
30,4181000.0,172.21511291580904,158.35227045685164
31,4312000.0,-165.88071746779764,-218.30889503647768
32,4440000.0,-100.64142558158554,-113.3104190915446
33,4573500.0,72.16391841644173,37.21094879297093
34,4709500.0,281.4585157163661,298.5667172376322
35,4836500.0,163.53833202694432,170.99647142881452
